page_path,total_content_sections,first_image_after_section,second_image_position,third_image_position,target_image_count,section_structure_notes
pages/immigration/financial-requirements.html,6,after_section_2,after_section_4,before_related,3,6 content sections: Income thresholds | Bank balance rules | Proof forms | Combined | Acceptable documents
pages/immigration/visa-extensions.html,7,after_section_2,after_section_4,before_related,3,7 content sections: Extension types | Tourist | Family | Marriage | Cost | Documents
pages/immigration/re-entry-permits.html,8,after_section_2,after_section_4,before_related,3,8 content sections: Purpose | Single/multiple | When needed | How to apply | Cost | Consequences
pages/immigration/address-change.html,5,after_section_2,before_related,,2,5 content sections: TM.30 reporting | Address process | Landlord notification | Multi-unit | Timing
pages/immigration/land-border-vs-air-entry.html,7,after_section_2,after_section_4,before_related,3,7 content sections: Border crossing | Air entry | Land borders | Queues | Entry requirements | Visa by border
pages/immigration/entry-strategy-guide.html,7,after_section_2,after_section_4,before_related,3,7 content sections: Entry planning | Visa prep | Documentation | Border selection | Timing | Common mistakes
pages/immigration/queue-strategy.html,6,after_section_2,after_section_4,before_related,3,6 content sections: Queue types | Off-peak times | Line management | Form prep | Documentation readiness
pages/immigration/common-rejections.html,9,after_section_2,after_section_4,before_related,3,9 content sections: Common issues | Document issues | Financial | Border issues | Return required | Appeal process
pages/immigration/blacklist-status.html,6,after_section_2,after_section_4,before_related,3,6 content sections: Blacklist types | Checking status | Removal process | Overstay causes | Re-entry issues | Lawyer
pages/immigration/visa-border-runs.html,11,after_section_2,after_section_4,before_related,3,11 content sections: Definition | Legality | Visa combinations | Popular routes | Logistics | Costs | Documentation
pages/immigration/legal-rights.html,6,after_section_2,after_section_4,before_related,3,6 content sections: Rights overview | Detention | Representation | Appeals | Deportation | Legal resources
pages/immigration/immigration-best-practices.html,9,after_section_2,after_section_4,before_related,3,9 content sections: Documentation | Compliance | Record keeping | Extensions | Address reporting | Re-entry | Professional help
pages/immigration/thailand-digital-arrival-card.html,10,after_section_2,after_section_4,before_related,3,10 content sections: Overview | When required | Application | Form fields | Submission | Approval | Advantages
pages/culture/index.html,4,after_section_2,before_related,,2,4 content sections: Culture overview | Customs intro | Festival intro | Etiquette intro
pages/culture/customs-traditions-thailand.html,9,after_section_2,after_section_4,before_related,3,9 content sections: Royal customs | Greeting | Superstitions | Festivals | Family values | Spiritual beliefs
pages/culture/festivals-events-chiang-mai.html,10,after_section_2,after_section_4,before_related,3,10 content sections: Festival overview | Loy Krathong | Songkran | Visakha Bucha | Other festivals | Participation
pages/culture/thai-culture-etiquette.html,9,after_section_2,after_section_4,before_related,3,9 content sections: Respectful behaviour | Dress code | Food etiquette | Social customs | Personal space | Temple etiquette
pages/culture/temple-etiquette.html,8,after_section_2,after_section_4,before_related,3,8 content sections: Dress code | Entry | Behaviour | Monk interaction | Offerings | Ceremonies | Photography | Taboos
pages/culture/sak-yant-chiang-mai.html,8,after_section_2,after_section_4,before_related,3,8 content sections: What is Sak Yant | Spiritual significance | Ritual process | Design meanings | Choosing monk | Cost | Care
pages/culture/sak-yant-designs-and-meanings.html,6,after_section_2,after_section_4,before_related,3,6 content sections: Popular designs | Protection tattoos | Prosperity designs | Spiritual designs | Combination meanings
pages/culture/etiquette-when-visiting-a-sak-yant-monk.html,5,after_section_2,before_related,,2,5 content sections: Preparation | Respect during | After session | Taboos | Care instructions
pages/culture/sak-yant-getting.html,8,after_section_2,after_section_4,before_related,3,8 content sections: Finding a monk | Choosing designs | Cost | Consultation | Ritual process | Care | Beliefs
pages/culture/thai-food-culture.html,8,after_section_2,after_section_4,before_related,3,8 content sections: Flavour philosophy | Food values | Eating customs | Street food | Regional cuisine | Festivals
pages/tools/index.html,1,after_section_1,,,,1 main section: Tools overview grid + hero (hub page)
